Date_Readable,Year,Month,Date,Current Employment,Seasonally Adjusted (Y/N),Benchmark
April 2002,2002,April,04/1/2002,180100,N,2024
August 2002,2002,August,08/1/2002,175600,N,2024
December 2002,2002,December,12/1/2002,172400,N,2024
February 2002,2002,February,02/1/2002,183200,N,2024
January 2002,2002,January,01/1/2002,182900,N,2024
July 2002,2002,July,07/1/2002,176600,N,2024
June 2002,2002,June,06/1/2002,178000,N,2024
March 2002,2002,March,03/1/2002,183300,N,2024
May 2002,2002,May,05/1/2002,178200,N,2024
November 2002,2002,November,11/1/2002,172600,N,2024
October 2002,2002,October,10/1/2002,173500,N,2024
September 2002,2002,September,09/1/2002,173700,N,2024
April 2003,2003,April,04/1/2003,170700,N,2024
August 2003,2003,August,08/1/2003,170500,N,2024
December 2003,2003,December,12/1/2003,170900,N,2024
February 2003,2003,February,02/1/2003,169300,N,2024
January 2003,2003,January,01/1/2003,168900,N,2024
July 2003,2003,July,07/1/2003,168700,N,2024
June 2003,2003,June,06/1/2003,171800,N,2024
March 2003,2003,March,03/1/2003,169500,N,2024
May 2003,2003,May,05/1/2003,171100,N,2024
November 2003,2003,November,11/1/2003,169700,N,2024
October 2003,2003,October,10/1/2003,169500,N,2024
September 2003,2003,September,09/1/2003,170900,N,2024
April 2004,2004,April,04/1/2004,168000,N,2024
August 2004,2004,August,08/1/2004,167700,N,2024
December 2004,2004,December,12/1/2004,170400,N,2024
February 2004,2004,February,02/1/2004,168400,N,2024
January 2004,2004,January,01/1/2004,167400,N,2024
July 2004,2004,July,07/1/2004,166500,N,2024
June 2004,2004,June,06/1/2004,169300,N,2024
March 2004,2004,March,03/1/2004,168700,N,2024
May 2004,2004,May,05/1/2004,167800,N,2024
November 2004,2004,November,11/1/2004,169300,N,2024
October 2004,2004,October,10/1/2004,168900,N,2024
September 2004,2004,September,09/1/2004,167500,N,2024
April 2005,2005,April,04/1/2005,167900,N,2024
August 2005,2005,August,08/1/2005,168300,N,2024
December 2005,2005,December,12/1/2005,171400,N,2024
February 2005,2005,February,02/1/2005,168700,N,2024
January 2005,2005,January,01/1/2005,167100,N,2024
July 2005,2005,July,07/1/2005,167400,N,2024
June 2005,2005,June,06/1/2005,168800,N,2024
March 2005,2005,March,03/1/2005,169500,N,2024
May 2005,2005,May,05/1/2005,168100,N,2024
November 2005,2005,November,11/1/2005,169500,N,2024
October 2005,2005,October,10/1/2005,169200,N,2024
September 2005,2005,September,09/1/2005,168800,N,2024
April 2006,2006,April,04/1/2006,172600,N,2024
August 2006,2006,August,08/1/2006,177100,N,2024
December 2006,2006,December,12/1/2006,180900,N,2024
February 2006,2006,February,02/1/2006,171700,N,2024
January 2006,2006,January,01/1/2006,169200,N,2024
July 2006,2006,July,07/1/2006,175800,N,2024
June 2006,2006,June,06/1/2006,174800,N,2024
March 2006,2006,March,03/1/2006,172400,N,2024
May 2006,2006,May,05/1/2006,172900,N,2024
November 2006,2006,November,11/1/2006,178200,N,2024
October 2006,2006,October,10/1/2006,177400,N,2024
September 2006,2006,September,09/1/2006,177900,N,2024
April 2007,2007,April,04/1/2007,180400,N,2024
August 2007,2007,August,08/1/2007,181700,N,2024
December 2007,2007,December,12/1/2007,184000,N,2024
February 2007,2007,February,02/1/2007,180800,N,2024
January 2007,2007,January,01/1/2007,179300,N,2024
July 2007,2007,July,07/1/2007,182100,N,2024
June 2007,2007,June,06/1/2007,181400,N,2024
March 2007,2007,March,03/1/2007,180900,N,2024
May 2007,2007,May,05/1/2007,180900,N,2024
November 2007,2007,November,11/1/2007,183300,N,2024
October 2007,2007,October,10/1/2007,182300,N,2024
September 2007,2007,September,09/1/2007,181600,N,2024
April 2008,2008,April,04/1/2008,183100,N,2024
August 2008,2008,August,08/1/2008,183800,N,2024
December 2008,2008,December,12/1/2008,179400,N,2024
February 2008,2008,February,02/1/2008,181900,N,2024
January 2008,2008,January,01/1/2008,180800,N,2024
July 2008,2008,July,07/1/2008,183400,N,2024
June 2008,2008,June,06/1/2008,183500,N,2024
March 2008,2008,March,03/1/2008,183100,N,2024
May 2008,2008,May,05/1/2008,182300,N,2024
November 2008,2008,November,11/1/2008,180500,N,2024
October 2008,2008,October,10/1/2008,181500,N,2024
